"Reference","Value","Datasheet","Footprint","Qty","DNP","MFR","Digikey"
"C11,C12,C14,C15,C16,C17,C18,C19,C20","0.1uF","~","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","9","","K104K15X7RF5UL2","56-K104K15X7RF5UL2CT-ND"
"C21","100uF","~","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","1","","ESS107M016AE2EA","399-18280-1-ND"
"J1,J2","Jumper_3_Open","~","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","2","","68001-103HLF","609-3468-ND"
"J3","Serial","~","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","1","","68001-104HLF ","609-3271-ND"
"R2,R3","10k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","2","","MFR-25FRF52-10K","13-MFR-25FRF52-10KCT-ND"
"RN1,RN2,RN3,RN4,RN5,RN6","R_Pack04_Split","~","Resistor_THT:R_Array_SIP8","6","","4608X-102-470LF","4608X-2-470LF-ND"
"U1","74LS245","http://www.ti.com/lit/gpn/sn74LS245","Package_DIP:DIP-20_W7.62mm_Socket","1","","SN74LS245N","296-1655-5-ND"
"U2,U3,U17","74LS541","http://www.ti.com/lit/gpn/sn74LS541","Package_DIP:DIP-20_W7.62mm_Socket","3","","SN74LS541N","296-1666-5-ND"
"U4","74LS125","http://www.ti.com/lit/gpn/sn74LS125","Package_DIP:DIP-14_W7.62mm_Socket","1","","SN74LS125AN","296-1638-5-ND"
"U5","74LS00","http://www.ti.com/lit/gpn/sn74ls00","Package_DIP:DIP-14_W7.62mm_Socket","1","","SN74LS00N","296-1626-ND"
"U6","74LS04","http://www.ti.com/lit/gpn/sn74LS04","Package_DIP:DIP-14_W7.62mm_Socket","1","","SN74LS04N","296-1629-5-ND"
"U7,U10","LS74","74xx/74hc_hct74.pdf","Package_DIP:DIP-14_W7.62mm_Socket","2","","SN74LS74AN","296-1668-5-ND"
"U8","74LS30","http://www.ti.com/lit/gpn/sn74LS30","Package_DIP:DIP-14_W7.62mm_Socket","1","","SN74LS30N","296-3693-5-ND"
"U9","74LS139","http://www.ti.com/lit/ds/symlink/sn74ls139a.pdf","Package_DIP:DIP-16_W7.62mm_Socket","1","","SN74LS139AN","296-1640-5-ND"
"U12,U13","74LS374","http://www.ti.com/lit/gpn/sn74LS374","Package_DIP:DIP-20_W7.62mm_Socket","2","","SN74LS374N","296-1662-5-ND"
"U16","MCP23S17","","Package_DIP:DIP-24_W15.24mm_Socket","1","","MCP23S17-E/SP","MCP23S17-E/SP-ND"
"U26","AT27C010","","Package_DIP:DIP-28_W15.24mm_Socket","1","","AT27C010-70PU","AT27C010-70PU-ND"
"U27","ATMega32","","Package_DIP:DIP-40_W15.24mm_Socket","1","","ATMEGA32A-PU","ATMEGA32A-PU-ND"
