"Reference","Qty","Value","DNP","Footprint","Datasheet","MFR","Mouser","Firmware"
"C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20","20","0.1uf","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","~","RDER72A104K1S1H03A","81-RDER72A104K1S1H3A",""
"C21,C22","2","30pf","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","~","C315C300F3G5TA","80-C315C300F3G5TA",""
"R1,R2,R3","3","220","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","CFR-25JR-52-220R","603-CFR-25JR-52220R",""
"RN1","1","4.7k","","Resistor_THT:R_Array_SIP8","http://www.vishay.com/docs/31509/csc.pdf","4608X-AP1-472LF","652-4608X-AP1-472LF",""
"U1","1","74LS245","","Package_DIP:DIP-20_W7.62mm_Socket_LongPads","http://www.ti.com/lit/gpn/sn74LS245","SN74LS245N","595-SN74LS245N",""
"U2","1","AS6C4008-55PCN","","Package_DIP:DIP-32_W15.24mm_Socket_LongPads","https://www.alliancememory.com/wp-content/uploads/pdf/AS6C4008.pdf","AS6C4008-55PCN","913-AS6C4008-55PCN",""
"U3","1","74LS75","","Package_DIP:DIP-16_W7.62mm_Socket_LongPads","http://www.ti.com/lit/gpn/sn74LS75","SN74LS75N","595-SN74LS75N",""
"U4,U5,U13,U14,U16,U17","6","74LS373","","Package_DIP:DIP-20_W7.62mm_Socket_LongPads","http://www.ti.com/lit/gpn/sn74LS373","SN74LS373N","595-SN74LS373N",""
"U6","1","28C64","","Package_DIP:DIP-28_W15.24mm_Socket_LongPads","https://www.mouser.com/datasheet/2/268/doc0270-1108115.pdf","AT28C64B-15PU","556-AT28C64B15PU","QXPC.ROM"
"U7","1","74LS04","","Package_DIP:DIP-14_W7.62mm_Socket_LongPads","http://www.ti.com/lit/gpn/sn74LS04","SN74LS04N","595-SN74LS04N",""
"U8","1","74F08","","Package_DIP:DIP-14_W7.62mm_Socket_LongPads","http://www.ti.com/lit/gpn/sn74LS08","SN74F08N","595-SN74F08N",""
"U9","1","74LS21","","Package_DIP:DIP-14_W7.62mm_Socket_LongPads","http://www.ti.com/lit/gpn/sn74LS21","SN74LS21N","595-SN74LS21N",""
"U10,U11","2","74LS74","","Package_DIP:DIP-14_W7.62mm_Socket_LongPads","74xx/74hc_hct74.pdf","SN74LS74AN","595-SN74LS74AN",""
"U12","1","74LS244","","Package_DIP:DIP-20_W7.62mm_Socket_LongPads","http://www.ti.com/lit/ds/symlink/sn74ls244.pdf","SN74LS244N","595-SN74LS244N",""
"U15","1","GAL16V8","","Package_DIP:DIP-20_W7.62mm_Socket_LongPads","https://www.mouser.com/datasheet/2/268/Atmel_0364_PLD_ATF16V8B_8BQ_8BQL_Datasheet-1381979.pdf","ATF16V8B-15PU","556-AF16V8B15PU","TITAN.JED"
"U19","1","GAL16V8","","Package_DIP:DIP-20_W7.62mm_Socket_LongPads","https://www.mouser.com/datasheet/2/268/Atmel_0364_PLD_ATF16V8B_8BQ_8BQL_Datasheet-1381979.pdf","ATF16V8B-15PU","556-AF16V8B15PU","IODECODE.JED"
"Y1","1","15 MHZ","","Crystal:Crystal_HC49-U_Vertical","https://www.mouser.com/datasheet/2/77/HC_49_U_S_E-1131675.pdf","HC-49/U-S15000000ABJB","695-HC49US-15-U",""
